id,location,quantity,value,unit,period,survey_window,label,source_id,source_table,source_page
peak_hour_volume_vehicles,Central Silk Board Junction,"Peak-hour traffic volume, whole junction",22634,vehicles per hour,Peak hour of a 24-hour count (clock time not reported),Dec 2014 - Apr 2015 campaign (day not reported),OBSERVED,CMP2019_DRAFT,"Table 2-13, row 11",printed page 2-24 (PDF page 73)
peak_hour_volume_pcu,Central Silk Board Junction,"Peak-hour traffic volume, whole junction, in PCU",18180,PCU per hour,Peak hour of a 24-hour count (clock time not reported),Dec 2014 - Apr 2015 campaign (day not reported),OBSERVED,CMP2019_DRAFT,"Table 2-13, row 11",printed page 2-24 (PDF page 73)
daily_volume_vehicles,Central Silk Board Junction,"24-hour traffic volume, whole junction",323099,vehicles per 24 hours,"24 hours, one day",Dec 2014 - Apr 2015 campaign (day not reported),OBSERVED,CMP2019_DRAFT,"Table 2-13, row 11",printed page 2-24 (PDF page 73)
daily_volume_pcu,Central Silk Board Junction,"24-hour traffic volume, whole junction, in PCU",281521,PCU per 24 hours,"24 hours, one day",Dec 2014 - Apr 2015 campaign (day not reported),OBSERVED,CMP2019_DRAFT,"Table 2-13, row 11",printed page 2-24 (PDF page 73)
car_share_of_vehicles,Central Silk Board Intersection,Share of cars in total vehicle volume (scope caveat: see JSON),0.53,fraction of vehicles,Not reported,Not reported (published June 2017),OBSERVED,IJIRSET2017,"Section VI, Silk Board Intersection, recommendation 6",p. 10540
existing_cycle_length_s,Central Silk Board Intersection,Existing signal cycle length,450,seconds,Not reported,Not reported (published June 2017),OBSERVED,IJIRSET2017,"Section VI, Silk Board Intersection, recommendation 8",p. 10540
